id;i_dproduct;i_dmenu;name;price;disponibility
1;23324;4046;Kids Gambia;98311;82284
2;74211;57374;monetize Principal navigate;34790;81149
3;69097;16316;reboot;76808;92572
4;63950;22076;Track withdrawal Refined Metal Car;93728;44573
5;6255;13165;Credit Card Account;63081;44325
6;83023;40879;Michigan Incredible Infrastructure;46442;91058
7;85179;82822;New Zealand;30312;49167
8;20811;4189;Malagasy Ariary Gloves;54278;48018
9;16516;29161;Small Wooden Bike Licensed Wooden Computer Oklahoma;95238;37638
10;20520;30106;Practical Data Identity;58781;89275
